epoca,periodo,provincia,distrito,provincia_pcode,distrito_pcode,avisos,ocorrencia_,chuvas,ventos_fortes,descarga_atmosferica,data,pessoas_afectadas_,familias__afectadas_,pessoas_indirectamente_afectadas,familias_indirectamente_afectadas,feridos,obitos,obitos2,grupos_vulneraveis,casas_parcialmente_dest,casas_totalmente_destr,casas_inundadas,escolas_afectadas,salas_de_aulas_parcialmente_destruidas,salas_de_aulas_totalmente_destruidas,alunos_afectados,prof_afectados,casas_de_culto,unidades_sanitarias,hospital_parcialmente_destruidas,hospital_totalmente_destruidas,centro_de_saude_parcialmente_destruidas,postes_de_energia,rede_de_pesca,embarcacoes,posto_de_transformacao,posto_policial,pensoes_para_hospedagem,sistema_de_abastecimento_de_agua,area_afectada_ha,familias_afectadas,accoes_em_curso,observacoes
2016-2017,,Gaza,Bilene,MZ09,MZ0902,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,2016-12-24,40,8,0,0,0,0,0,0,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Gaza,Cidade de Xai-Xai,MZ09,MZ0901,n/a,Chuvas fortes,1,FALSE,0,2016-12-28,50,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Gaza,Mandlakaze,MZ09,MZ0909,n/a,Chuvas fortes,1,FALSE,0,2016-12-28,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Maputo Cidade,KaNlhamankulo,MZ11,MZ1107,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,2016-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Maputo Cidade,KaMubukwane,MZ11,MZ1106,062/INAM-DAPT/999/2016,Chuvas e ventos fortes,1,TRUE,0,2016-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Nampula,Mecuburi,MZ03,MZ0310,n/a,Chuvas fortes,1,FALSE,0,2016-12-28,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Nampula,Mogovolas,MZ03,MZ0313,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-12-25,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Zambezia,Lugela,MZ04,MZ0410,n/a,Chuvas e ventos fortes,1,TRUE,0,2016-12-26,69,14,0,0,0,0,0,0,7,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Gaza,Chonguene,MZ09,MZ0913,n/a,Chuvas fortes,1,FALSE,0,2016-12-28,50,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Maputo,Boane,MZ10,MZ1002,n/a,Chuvas fortes,1,FALSE,0,2016-12-28,100,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Nampula,Muecate,MZ03,MZ0317,n/a,Ventos fortes,0,TRUE,0,2016-12-30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
2016-2017,,Niassa,Mandimba,MZ01,MZ0106,n/a,Chuvas e ventos fortes,1,TRUE,0,2017-01-02,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a
