,OBJECTID,,LC_PRI,LC_SEC,LC_TER,NOTE_,AUTOR,LC_PRI_PER,LC_SEC_PER,LC_TER_PER,HECTARES,POLY_ID,OBJECTID_1,LC_PRI_1,LC_DESCRIP,RECLASS1,RECLASS2
1660,USE1660,,2FD,,,,4,5,0,0,23338,3659,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1661,USE1661,,2FD,2WD,,,8,3,2,0,32836,7789,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1664,USE1664,,2FD,2SL,1FC,,4,3,2,1,47021,8198,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1680,USE1680,,2FD,,,,3,5,0,0,2832,14318,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1689,USE1689,,2FD,,,Derived from provincial land cover database,1,5,0,0,1347,16921,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1705,USE1705,,2FD,2SL,,,3,3,2,0,17775,23959,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1706,USE1706,,2FD,2WD,,,3,3,2,0,5651,23980,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1709,USE1709,,2FD,4HF,,,6,3,2,0,1755,4277,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1720,USE1720,,2FD,,,,3,5,0,0,3710,14480,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1721,USE1721,,2FD,,,,3,5,0,0,3495,905,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1725,USE1725,,2FD,2GL,1HC,,6,3,1,1,11451,19917,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1732,USE1732,,2FD,2SL,,Derived from provincial land cover database,1,3,2,0,1888,18672,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1733,USE1733,,2FD,2WD,,,3,4,1,0,10164,20606,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1737,USE1737,,2FD,2WD,,,3,4,1,0,9097,21224,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1772,USE1772,,2FD,,,Derived from provincial land cover database,1,5,0,0,6574,23007,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1775,USE1775,,2FD,2WD,,Derived from provincial land cover database,1,3,2,0,90593,25659,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1779,USE1779,,2FD,2WD,,,8,3,2,0,148002,25663,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1782,USE1782,,2FD,6BA,,,7,4,1,0,38301,25667,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1789,USE1789,,2FD,,,Derived from provincial land cover database,1,5,0,0,64949,25675,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1792,USE1792,,2FD,,,,3,5,0,0,111848,25679,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1844,USE1844,,2FD,2FE,,,8,3,2,0,11953,23395,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1862,USE1862,,2FD,2WD,,,3,4,1,0,70325,25794,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1863,USE1863,,2FD,2WD,,,3,4,1,0,7046,25796,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1867,USE1867,,2FD,,,,7,5,0,0,1364,12648,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1871,USE1871,,2FD,,,,7,5,0,0,65802,15304,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1873,USE1873,,2FD,1FC,,,4,4,1,0,240916,18141,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1877,USE1877,,2FD,2SL,,,7,4,1,0,211663,24090,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1879,USE1879,,2FD,,,,4,5,0,0,5911,24517,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1880,USE1880,,2FD,,,,4,5,0,0,2466,24518,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1882,USE1882,,2FD,2SL,,,7,5,0,0,8704,24526,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1892,USE1892,,2FD,2SL,,,4,4,1,0,94142,21141,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1896,USE1896,,2FD,,,,5,5,0,0,69634,4512,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1902,USE1902,,2FD,,,,3,5,0,0,19664,22525,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1912,USE1912,,2FD,2WD,,,8,3,2,0,279977,24632,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1925,USE1925,,2FD,,,,6,5,0,0,482067,24581,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1928,USE1928,,2FD,,,,3,5,0,0,68739,24596,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1929,USE1929,,2FD,2WD,,,3,4,1,0,2542,24661,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1932,USE1932,,2FD,,,,3,5,0,0,1256,14379,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1941,USE1941,,2FD,6BA,,,7,4,1,0,59480,18063,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1943,USE1943,,2FD,2FE,,Derived from provincial land cover database,1,4,1,0,6167,18429,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1959,USE1959,,2FD,,,,3,5,0,0,5715,7825,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
1967,USE1967,,2FD,2GL,,,2,3,2,0,19926,15920,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
